# German-English translations created from the Universal dictionary at 2011-03-25T01:53:34-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 evening ; eve ; even ; eventide 	 time 
 Brief 	 letter ; missive 	 object 
 Briefumschlag ; Umschlag ; Kuvert 	 envelope 	 object 
 Britannien 	 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 country 
 Brot 	 bread ; breadstuff ; staff of life 	 food 
 Bruder 	 brother ; blood brother 	 family 
 Brunnen 	 well 	 object 
 Brunnen ; Quelle 	 spring ; fountain ; outflow ; outpouring ; natural spring 	 nature 
 Brunst ; Brunft 	 estrus ; oestrus ; heat ; rut 	 nature 
 Brust 	 breast ; chest 	 anatomy 
 Brust 	 thorax ; chest ; pectus 	 anatomy 
 Brücke 	 bridge ; span 	 object 
 Buch 	 book ; volume 	 object 
 Burg 	 castle 	 city 
 Butter 	 butter 	 food 
 Bär 	 bear 	 animal 
 Bücherei 	 library 	 city 
 Bühne 	 stage 	 object 
 Bündel ; Packung ; Paket 	 package ; bundle ; packet ; parcel 	 object 
 Büro 	 office ; business office 	 business 
 Bürste 	 brush 	 object 
 Chance ; Gelegenheit 	 opportunity ; chance 	 abstract 
 Charakter 	 personality 	 abstract 
 Charakter 	 quality ; character ; lineament 	 abstract 
 Charakteristik ; Eigenschaft ; Merkmal 	 feature ; characteristic 	 abstract 
 Chef 	 head ; chief ; top dog 	 society 
 Chemie 	 chemistry ; chemical science 	 science 
 Chemikalie 	 chemical ; chemical substance 	 material 
 China 	 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 country 
 Chinesisch 	 Chinese 	 language 
 Club ; Klub ; Verein ; Gilde ; Innung ; Zunft 	 club ; social club ; society ; guild ; gild ; lodge ; order 	 society 
 Computer ; Rechner 	 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 device 
 Dach 	 roof 	 house 
 Dampf 	 steam 	 physics 
 Dasein ; Existenz ; Sein 	 being ; beingness ; existence 	 society 
 Datum 	 date ; day of the month 	 time 
 Daumen 	 thumb ; pollex 	 anatomy 
 Deckel ; Hülle ; Mantel ; Umschlag 	 screen ; cover ; covert ; concealment 	 object 
 Demokratie ; Republik 	 democracy ; republic ; commonwealth 	 society 
 Deutsch ; Deutsche 	 German ; High German ; German language 	 linguistics 
 Deutschland 	 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 country 
 Dezember 	 December ; Dec 	 time 
 Diele ; Halle ; Vestibül ; Vorhalle ; Vorraum 	 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 house 
 Diener 	 servant ; retainer 	 profession 
 Dienst ; Bedienung ; Dienstleistung 	 service 	 sports 
 Ding ; Sache 	 thing 	 object 
 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 director ; manager ; managing director 	 profession 
 Diskussion 	 discussion ; give-and-take ; word 	 communication 
 Disziplin 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 Diversität ; Verschiedenheit ; Vielfalt 	 diverseness ; diversity ; multifariousness ; variety 	 art 
 Domizil ; Wohnsitz ; Wohnung 	 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 house 
 Donnerstag 	 Thursday ; Th 	 time 
 Dorf 	 village ; hamlet 	 society 
 Dorf 	 village ; small town ; settlement 	 society 
 Draht 	 wire 	 object 
 Druck 	 pressure ; pressure level ; force per unit area 	 nature 
 Dunst ; Qualm ; Rauch 	 smoke ; fume 	 nature 
 Dusche 	 shower 	 house 
 Ebene 	 plain ; field ; champaign 	 nature 
 Edelstein ; Juwel ; Kleinod 	 jewel ; gem ; precious stone 	 object 
 Effekt ; Ergebnis ; Folge ; Resultat ; Wirkung 	 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 medicine 
 Ehe ; Ehegemeinschaft 	 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 society 
 Ehefrau ; Frau ; Gemahlin 	 wife ; married woman 	 family 
 Ehemann ; Mann ; Gemahl ; Gatte 	 husband ; hubby ; married man 	 family 
 Eheschliessung ; Heirat ; Trauung ; Vermählung 	 marriage ; wedding ; marriage ceremony 	 family 
 Ei 	 egg 	 food 
 Eigenschaft 	 property 	 abstract 
 Eigentum ; Besitz ; Habseligkeiten 	 property ; belongings ; holding 	 society 
 Eiland ; Insel 	 island 	 nature 
 Eind ; Ende ; Schluss 	 end ; terminal 	 abstract 
 Einheit 	 unit of measurement ; unit 	 mathematics 
 Einkommen 	 income 	 business 
 Einrichtung ; Organisation 	 arrangement ; organization ; organisation ; system 	 society 
 Einspruch 	 protest ; protestation 	 communication 
 Einzelheit 	 detail ; particular ; item 	 logistics 
 Eis 	 ice 	 nature 
 Eis 	 ice ; water ice 	 material 
 Eisen 	 iron ; Fe ; atomic number 26 	 material 
 Elefant 	 elephant 	 animal 
 Element 	 chemical element ; element 	 material 
 Element 	 component ; constituent ; element ; factor ; ingredient 	 mathematics 
 Elternteil 	 parent 	 family 
 Energie 	 energy ; free energy 	 nature 
 Energie ; Kraft 	 power ; powerfulness 	 abstract 
 Englisch 	 English ; English language 	 language 
 Entdeckung 	 discovery ; find ; uncovering 	 society 
 Entwicklung 	 development ; evolution 	 nature 
 Entwurf 	 design ; designing 	 abstract 
 Erde 	 Earth ; earth ; world ; globe 	 nature 
 Erde 	 earth ; ground 	 material 
 Erdöl ; Rohöl ; Öl 	 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 material 
 Ereignis ; Begebenheit ; Vorfall ; Geschehnis 	 event 	 abstract 
 Erfahrung 	 experience 	 society 
 Erfindung 	 invention ; innovation ; excogitation ; conception ; design 	 art 
 Erfolg 	 success 	 society 
 Ergebnis 	 result ; resultant ; final result ; outcome ; termination 	 mathematics 
 Ergänzung ; Zugabe 	 addition ; add-on ; improver 	 abstract 
 Erhebung 	 inquiry ; enquiry ; research 	 abstract 
 Erkältung 	 cold ; common cold 	 medicine 
 Erlebnis 	 experience 	 communication 
 Ersatz 	 substitution ; exchange ; commutation 	 abstract 
 Erziehung 	 education 	 society 
 Essen ; Mahlzeit 	 meal ; repast 	 food 
 Essen ; Nahrungsmittel ; Nährstoff ; Speise ; essen ; nahrung 	 food ; nutrient 	 food 
 Essenz ; Kern ; Kernel ; Quintessenz ; Wesentliche 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 Examen ; Prüfung 	 examination ; exam ; test 	 communication 
 Experte 	 expert 	 profession 
 Fabrik ; Fertigungsanlage 	 factory ; mill ; manufacturing plant ; manufactory 	 city 
 Fabrik ; Werk 	 plant ; works ; industrial plant 	 city 
 Fachmann ; Profi 	 professional ; professional person 	 profession 
 Fahrgast ; Passagier 	 passenger ; rider 	 transport 
 Fahrkarte ; Fahrschein ; Karte 	 ticket 	 object 
 Fahrrad 	 bicycle ; bike ; wheel ; cycle 	 object 
 Fahrt ; Reise 	 journey ; journeying 	 transport 
 Faktur ; Nota ; Rechnung ; Rechnungsstellung 	 bill ; account ; invoice 	 business 
 Fall 	 case ; instance ; example 	 abstract 
 Fall ; Sturz 	 spill ; tumble ; fall 	 abstract 
 Falte ; Biegung ; Biegen ; Krümmung 	 fold ; crease ; plication ; flexure ; crimp ; bend 	 object 
 Familie 	 family ; family unit 	 family 
 Familie ; Haushalt ; Privathaushalt ; familie 	 family ; household ; house ; home ; menage 	 family 
 Farbe 	 coloring material ; colouring material ; color ; colour 	 art 
 Farbe 	 paint ; pigment 	 art 
 Farbe ; Färbung 	 color ; colour ; coloring ; colouring 	 art 
 Februar 	 February ; Feb 	 time 
 Feder 	 feather ; plume ; plumage 	 object 
 Feder 	 spring 	 object 
 Fehler ; Irrtum ; Schnitzer 	 mistake ; error ; fault 	 communication 
 Feld 	 field 	 nature 
 Fenster 	 window 	 house 
 Fernseher 	 television receiver ; television ; television set ; tv ; tv set ; idiot box ; boob tube ; telly ; goggle box 	 device 
 Fett 	 fat 	 material 
 Feuchtigkeit 	 moisture ; wet 	 nature 
 Feuer ; Flamme 	 fire ; flame ; flaming 	 nature 
 Fielge ; Fliege 	 fly 	 animal 
 Film 	 film ; cinema ; celluloid 	 object 
 Film 	 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 art 
 Finger 	 finger 	 anatomy 
 Firma 	 company 	 business 
 Firma ; Betrieb 	 firm ; house ; business firm 	 business 
 Fisch 	 fish 	 animal 
 Flagge 	 flag 	 object 
 Flasche 	 bottle 	 food 
 Fleisch ; Fleish 	 meat 	 food 
 Fliegen ; Flug 	 flight ; flying 	 transport 
 Flughafen ; Flugplatz 	 airport ; airdrome ; aerodrome ; drome 	 city 
 Flugzeug 	 airplane ; aeroplane ; plane 	 object 
 Fluss 	 river 	 nature 
 Fläche 	 area ; expanse ; surface area 	 mathematics 
 Flügel 	 wing 	 anatomy 
 Flüssigkeit 	 liquid 	 nature 
 Form 	 form ; shape ; cast 	 art 
 Formblatt ; Formular 	 form 	 society 
 Forschung 	 research 	 abstract 
 Fotoapparat 	 camera ; photographic camera 	 object 
 Fotograf ; Photograph 	 photographer ; lensman 	 profession 
 Frankreich 	 France ; French Republic 	 country 
 Französisch 	 French 	 language 
 Frau 	 female ; female person 	 society 
 Frau 	 woman ; adult female 	 family 
 Freitag 	 Friday ; Fri 	 time 
 Freund 	 boyfriend ; fellow ; beau ; swain ; young man 	 family 
 Freund ; Freundin 	 friend 	 family 
 Freundin 	 girlfriend ; girl ; lady friend 	 family 
 Frieden 	 peace 	 abstract 
 Front ; Vorderseite ; Vorderteil 	 front ; front end ; forepart 	 abstract 
 Frucht ; Obst 	 fruit 	 food 
 Fräulein ; Mädchen 	 girl ; miss ; missy ; young lady ; young woman ; fille 	 family 
 Frühjahr ; Frühling ; Lenz 	 spring ; springtime 	 nature 
 Frühstück 	 breakfast 	 food 
 Fundament 	 footing ; basis ; ground 	 mathematics 
 Funktion 	 function ; office ; part ; role 	 mathematics 
 Funktion ; Zweck 	 function ; purpose ; role ; use 	 linguistics 
 Fuß ; Fuss 	 foot ; human foot ; pes 	 anatomy 
 Fußball 	 football ; football game 	 sports 
 Fußboden 	 floor ; flooring 	 house 
 Fähigkeit 	 ability ; power 	 abstract 
 Führer 	 leader 	 society 
 Führung ; Management ; Verwaltung 	 management ; direction 	 society 
 Füller 	 pen 	 object 
 Gabel 	 fork 	 food 
 Ganze 	 whole 	 abstract 
 Garage 	 garage 	 transport 
 Gardine ; Vorhang 	 curtain ; drape ; drapery ; mantle ; pall 	 house 
 Garten 	 garden 	 house 
 Gast 	 guest ; invitee 	 travelling 
 Geburt 	 birth ; nativity ; nascency ; nascence 	 nature 
 Geburtstag 	 birthday 	 family 
 Gebühr 	 charge 	 business 
 Gedanke ; Idee 	 idea ; thought 	 communication 
 Gedächtnis 	 memory ; retention ; retentiveness ; retentivity 	 communication 
 Gefahr 	 danger 	 abstract 
 Gefahr ; Risiko ; Wagnis 	 hazard ; jeopardy ; peril ; risk ; endangerment 	 transport 
 Gefängnis 	 prison ; prison house 	 city 
 Gefühl 	 feeling 	 communication 
 Gegenspieler ; Gegner ; Konkurrent ; Rival ; Wettbewerber 	 rival ; challenger ; competitor ; competition ; contender 	 business 
 Gegenteil 	 reverse ; contrary ; opposite 	 abstract 
 Gegenwart 	 present ; nowadays 	 time 
 Geheimnis 	 secret 	 communication 
 Gehirn 	 brain ; encephalon 	 anatomy 
 Gehölz ; Holz ; Wald 	 forest ; wood ; woods 	 nature 
 Geist ; Verstand ; Psyche 	 mind ; head ; brain ; psyche ; nous 	 mathematics 
 Geiß ; Ziege 	 goat ; caprine animal 	 animal 
 Gelassenheit ; Ruhe 	 repose ; quiet ; placidity ; serenity ; tranquillity ; tranquility 	 abstract 
 Geld 	 money 	 business 
 Gemeinschaft 	 community 	 society 
 Gemälde 	 painting ; picture 	 art 
 Gen 	 gene ; cistron ; factor 	 anatomy 
 Genehmigung ; Billigung 	 blessing ; approval ; approving 	 communication 
 General 	 general ; full general 	 profession 
 Gericht 	 court ; tribunal ; judicature 	 society 
 Gerichtssaal 	 court ; courtroom 	 society 
 Geräusch ; Lärm ; Geräusche 	 noise ; dissonance ; racket 	 society 
 Geschenk 	 present 	 object 
 Geschichte 	 history 	 society 
 Geschick 	 skill ; science 	 sports 
 Geschlecht 	 sex 	 nature 
 Geschmack 	 taste ; gustation ; sense of taste ; gustatory modality 	 nature 
 Geschoss ; Etage ; Stockwerk 	 floor ; level ; storey ; story 	 house 
 Geschäft 	 business ; concern ; business concern ; business organization ; business organisation 	 business 
 Geschäft 	 shop ; store 	 business 
 Geschäftsfrau ; Kauffrau 	 businesswoman 	 business 
 Geschäftsmann 	 businessman ; man of affairs 	 profession 
 Gesellschaft 	 company ; companionship ; fellowship ; society 	 society 
 Gesellschaft 	 organization ; organisation 	 society 
 Gesellschaft 	 society 	 society 
 Gesetz 	 law 	 society 
 Gesicht 	 face ; human face 	 anatomy 
 Gestein ; Stein 	 rock ; stone 	 nature 
 Gesundheit 	 health ; wellness 	 medicine 
 Gesundheitszustand 	 health 	 abstract 
 Getränk ; Trank 	 beverage ; drink ; drinkable ; potable 	 food 
 Gewehr 	 gun 	 object 
 Gewicht 	 weight 	 physics 
 Gewinn ; Sieg 	 win 	 sports 
 Gewinn ; Verdienst 	 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 business 
 Gewinn ; Vorteil 	 advantage ; reward 	 abstract 
 Gewächs ; Pflanze 	 plant ; flora ; plant life 	 house 
 Gift 	 poison ; toxicant ; poisonous substance 	 material 
 Gipfel ; Höhepunkt 	 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 abstract 
 Gitarre ; Guitarre 	 guitar 	 object 
 Glas 	 glass 	 material 
 Glas 	 glass ; drinking glass 	 food 
 Glaube ; Religion 	 religion ; faith ; religious belief 	 society 
 Gleichgewicht 	 balance 	 physics 
 Gleis ; Schiene ; Geländer ; Schienen 	 track ; rail ; rails ; runway 	 transport 
 Glocke 	 bell 	 object 
 Gold 	 gold ; Au ; atomic number 79 	 material 
 Golf 	 golf ; golf game 	 travelling 
 Grad 	 degree 	 linguistics 
 Grad ; Niveau ; Stufe 	 degree ; grade ; level 	 linguistics 
 Gras ; Ried ; herbe 	 grass 	 nature 
 Grau 	 gray ; grayness ; grey ; greyness 	 color 
 Grenze 	 limit ; bound ; boundary 	 mathematics 
 Großbuchstabe 	 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 linguistics 
 Großvater ; Opa 	 grandfather ; gramps ; granddad ; grandad ; granddaddy ; grandpa 	 family 
 Grund 	 reason ; ground 	 communication 
 Grund ; Ursache 	 cause 	 abstract 
 Grund ; Ursache 	 reason 	 communication 
 Gruppe ; Gruppierung 	 group ; grouping 	 abstract 
 Größe 	 size 	 physics 
 Gute 	 good ; goodness 	 abstract 
 Haar 	 hair ; pilus 	 anatomy 
 Haare 	 hair 	 anatomy 
 Haken 	 hook ; claw 	 object 
 Hals 	 neck ; cervix 	 anatomy 
 Halt 	 stop ; halt 	 abstract 
 Hammer 	 hammer 	 object 
 Hand 	 hand ; manus ; mitt ; paw 	 anatomy 
 Handel 	 bargain ; deal 	 business 
 Handel 	 trade 	 business 
 Handlung 	 action 	 mathematics 
 Handtasche 	 bag ; handbag ; pocketbook ; purse 	 clothes 
 Hang ; Steigung 	 gradient ; slope 	 mathematics 
 Hass 	 hate ; hatred 	 relations 
 Hauptstadt 	 capital 	 society 
 Haus 	 house 	 house 
 Haut 	 skin ; tegument ; cutis 	 anatomy 
 Heim ; Heimat ; Zuhause ; Eigenheim ; Haus 	 home ; place 	 house 
 Hemd 	 shirt 	 clothes 
 Henkel ; Stiel 	 handle ; grip ; handgrip ; hold 	 object 
 Herbst 	 fall ; autumn 	 nature 
 Herkunft ; Ursprung ; Quelle 	 beginning ; origin ; root ; rootage ; source 	 transport 
 Herz 	 heart ; pump ; ticker 	 anatomy 
 Heute 	 today 	 time 
 Hilfe ; Mithilfe ; Unterstützung 	 aid ; assist ; assistance ; help 	 communication 
 Hilfe ; Stütze ; Unterstützung 	 support 	 abstract 
 Himmel 	 sky 	 nature 
 Hindi 	 Hindi 	 language 
 Hitze 	 hotness ; heat ; high temperature 	 medicine 
 Hochschule ; Universität 	 university 	 education 
 Hochzeit 	 wedding ; wedding ceremony ; nuptials ; hymeneals 	 family 
 Hoffnung 	 promise ; hope 	 relations 
 Holz 	 wood 	 material 
